,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,YANNICK R,380yannickr,8 janvier 2025,Magnifique,5.0,friends,2,"Belle découverte que cette ancienne chapelle magnifiquement transformée à proximité de la Gare Perrache.
L'accueil, le service et la qualité de la cuisine sont irréprochables. Le tout dans une ambiance conviviale et sophistiquée.
Je recommande vivement"
1,Bénédicte C,b_n_dictec617,7 janvier 2025,Lieu idéal pour un séminaire,5.0,business,2,"Merci à Laetitia BELIN et son équipe bienveillante ! Lieu parfait pour un séminaire de 2 jours, espaces conviviaux et chaleureux, salles adaptées à tout type de réunion, personnel aux petits soins. La Source Store est l'endroit idéal pour un séminaire à Lyon !"
2,Passenger41355628509,Passenger41355628509,6 janvier 2025,Magique,5.0,couples,1,Lieu magnifique cuisine raffinée et copieuse personnel sympa et professionnel restaurant a ne pas manqué a lyon j y retournerai avec grand plaisir
3,Virginie C,D6815HCvirginiec,6 janvier 2025,N hésitez pas à aller vous ressourcer dans ce lieu qui porte bien son nom,5.0,couples,1,"Délicieux moment, cuisine de qualité,  produits frais locaux et de saison. Très appréciable,  personnel accueillant, passage du chef à notre table, lieu chargé d histoire ... un vrai plaisir ! Nous y sommes retournéswa deux reprises depuis , y compris pour un repas de famille !"
4,Laly92,nathaliej199,12 décembre 2024,Dîner entre amis,5.0,friends,55,"Excellente prestation.
Restaurant peu bruyant malgré le monde.
Propre ainsi que les toilettes.
Cuisine excellente.
Choix des plats diversifiés 
Présentation des assiettes top
Quentin notre serveur jeune ,dynamique a été très attentionné envers nous.
Je recommande  sans hésiter"
5,Bibie,Freedom57986860856,11 décembre 2024,Bon moment bonne cuisine bonne ambiance,5.0,couples,5,"Beau Restaurant dans un  cadre très agréable 
Personnel sympathique dont Quentin 
Mets très bons
Bon rapport qualité prix"
6,Chris A,chrisaY3093YY,9 décembre 2024,À refaire car très sympa,5.0,business,3,"Accueil très sympa , le déjeuner était excellent des bonnes saveurs et une assiette bien remplie 
Rapport t qualité prix excellent je reviendrais"
7,Deaa a,610deaaa,8 décembre 2024,Parfait !!,5.0,friends,1,"J'ai eu la chance de participer à un séminaire à la source, et je dois dire que tout était au top. Que ce soit le repas, le cadre ou les équipes, tout était parfait ! Un grand merci pour cette belle découverte, je reviendrai sans hésiter.  
Un petit clin d'œil à Fanny pour son accueil chaleureux !"
8,elisa c,elisacH7751EL,8 décembre 2024,Soirée d’entreprise,5.0,business,1,"J'avais déjà eu l'occasion de découvrir le restaurant La Source, et j'y étais revenu récemment pour une soirée d'entreprise. Encore une fois, tout a été parfait ! Que ce soit le cocktail, le lieu ou l'équipe, tout s'est déroulé à merveille. L'endroit est vraiment agréable et l'ambiance idéale pour un événement. Merci à Fanny pour son attention et bien évidemment à toute l’équipe. Je recommande vivement !"
9,Johanna M,johannamC5129NI,8 décembre 2024,Excellente expérience !,5.0,family,6,"Excellente cuisine : des produits frais et du fait maison ! 
J'ai pu manger de la très bonne viande de race.

Le cadre est également exceptionnel!"
